bridgetines po,sad
when ur fav kdrama is over and u dont know what to do wth ur life anymore,sad
rip baby ac cc janesxwonderland sorry this is so shitty,sad
i just wanna be with my man rn,sad
i need this because they are expensive and i dont have money to buy them,sad
i already tweet more than 100 indirects to mahogany lox and she ignored all of them including this one,sad
a little bit about this years knitting club  this year i am behind the scenes and missing the girls,sad
11 i lowekey have a crush on you cause youre so freaking pretty bye and i still love your nose,sad
how the fuck has it been 7 years since i saw the jonas brothers omg,sad
how the fuck has it been 7 years since i saw the jonas brothers omg,sad
but the feeling is not mutuals,sad
we lost pittsburgh 1999 week 1 430,sad
namjin holding hands im not crying you are,sad
that is so sad  i hope you can walwal soon,sad
still no yeri,sad
so when it rains in  it rains we had to cut short our snorkelling activity,sad
but i forgot itits an account i havent used in a while,sad
the person who posted the new singles pics on instagram said it in the comments,sad
how thoughtful imagine how people do it in public   we should  definitely help,sad
i missed it,sad
all i want to do is listen to suga play piano all day,sad
so jealous of those who are going to meet you i wish i lived in london  have fun loves,sad
i feel for basti,sad
bad news about grandmom,sad
basti i feel you,sad
gbbt tapb batb,sad
aaaw negative,sad
somemore say you never emo dont emo liao laaa,sad
i love you five so much,sad
when you have no one to gossip too  lol,sad
i dont even get that,sad
juniors tweeting about their last days in md and how theyre gonna miss it makes me miss md too,sad
soft  hard,sad
im so tired  lord can i have a hug i need that right now,sad
allnighter na lang,sad
i think there was seated vip but  i hope you meet them any other time though,sad
what happened to let love rule,sad
thanks fam miss you too,sad
my heart iris,sad
if only they knew,sad
not gonna see my baby sister for a week,sad
still waiting for gs to open,sad
bad news  lee his current ranking is  now come on lets vote for her,sad
aaaw negative,sad
i dont know anything about korean pop culture n i feel like im missing out wtf,sad
same feelings,sad
aaaw negative,sad
still deciding but if i dun go this time ill sure go next year im deciding too late the date so near now  thanks tho,sad
you left ms amanpour out  she seems very very unhappy,sad
the good old days,sad
i miss irene and park bogum,sad
this is disgusting australia really has to get onto the rights for lgbtq  when are we going to get gay marriage,sad
why the heckity heck were you up at 5am   you better be sleeping now,sad
stay up on tha phone with me please,sad
all the tears,sad
but didnt you hear giuliani laws dont apply to trump,sad
when i  cut my hair on may 27  before and after,sad
theres no antidote,sad
too much bad news in the philippines,sad
you wont let me play this remote control car,sad
aaaw negative,sad
good luck its been great while it lasted   your tweets  all else now one more thing to mourn in 2016,sad
knp ya suka kesel org org deciding whose top whose bottom by their height difference,sad
i have to go call my parents now bcz i know they will be devastated it hurts us too,sad
i have to go call my parents now bcz i know they will be devastated it hurts us too,sad
i wish there was a bring your dog to school day,sad
im so sorry,sad
i want to see suju performing together again,sad
i feel sad rn,sad
i want that adi backpack,sad
i miss my live event,sad
namjin holding hands im not crying you are,sad
its almost as if he always was average and nothing has changed,sad
kth oppa wae you so so so menawan,sad
oh no,sad
craving for seafooddddd,sad
but i spent my precious time writing that beautifully formatted description,sad
cant imagine the suffering  thats why i never get to the centre and in front of gigs,sad
she waited her whole life to see a female president  this makes me so sad,sad
dammit  we dont need another neocon warmonger beating the drums for an invasion of iran,sad
last intrams night ng red batch  kamiss,sad
this broke my heart,sad
hey marinacityeric can you tell me a joke i really need cheered up,sad
hello bb ofcus i miss you you dont miss me meh  see you soon for dinner okay,sad
why must you impersonate me,sad
i love you,sad
aaaw negative,sad
allowance wer u,sad
its also sad when jackson stans have bias wreckers like how is that possible,sad
its friday,sad
im a bad girl,sad
poor  and,sad
guys lets play pool or tetris,sad
aaaw negative,sad
my skin keeps on breaking out bc im so sleep deprived,sad
omg  ya kinda but ok wait text me abt it,sad
follow me,sad
all i want to do is listen to suga play piano all day,sad
i hate when im so caught up with what im doing that i forget my tea and it gets cold,sad
its already six months but still drowned with the memories left 111816,sad
syeeet twink,happy
hey  i think this question is for you  b,happy
im not gunna let anyone ruin my day its been good so far,happy
d thanks i do love my room 3,happy
banis cute style of greeting her fans,happy
u got that right sheila  is the best chemistry teacher i have ever known,happy
pls check it out,happy
wet pussy girl cam charlottesqui have some fun and cum,happy
today is my birthday,happy
always wishing u d best deekay  god bless,happy
hey  i hope you dont mind me tucking into team parking at  today saves a space for others at,happy
excited for bings party wahoo i have a very excited 4 year old d,happy
im just write something like hshsheveieboeebei and nobody will read ohhh fuck my life d,happy
good morning twitter friends today is another day to fight for  make it count,happy
lol i ship that too though,happy
simply smile at people who hate you,happy
thanks for being top engaged members this week  via,happy
just bought my ticket to see lewis watson in march next year,happy
the name is,happy
its a   how to say no to men  scream queen stream  via,happy
happppy birthday d,happy
its  nothing but the weekend ahead  looking for a new career we can help  contact us for career assis,happy
i just get that feeling when i did a quick glance d,happy
happy birthday dood dont die today from alcohol,happy
good tho anyone whos ever had a cat knows hes sure hes as good as any lion and doesnt care if you agree,happy
it will probably take like 2 years to finish this d,happy
our fabulous new window stickers are finally installed and make the building look amazing   feeling excited,happy
its coming  auditions are only 3 months away,happy
i will hahahhaa thanksssss,happy
hell yea track with  is out now and his name is right at the top  get your wallets out guys,happy
amazing rap from will smith    cca 1988 era d,happy
this is a good 360 video and were not monkeying around ha ha,happy
this pic,happy
yarooooooooooooooooo canny wait d xxx,happy
right im off this bbl,happy
yes we will have real reconstructions of castles and dungeons in the game from the region of szava,happy
your smile makes my day better  thank you for all brazil loves you okay all the love,happy
thanks noel miss you we should run soon,happy
mwoahh oo i wonder what language are they using to communicate kkk best of luckk d,happy
ears and equalisation quiz,happy
us directioners so excited for you to see the stickers i drew for the limited edition  deluxe yearbook  x,happy
whos comin to harvey nicks today,happy
great job guys,happy
thanks    i did look it up after we last spoke  it looks really great  thx for taking time to find  send link,happy
thank uuu mrhandsome means soo much to have ur wishes bro,happy
dashing  with fan,happy
and here it is guys the official teaser no2 of  coming to theatres near you soon do not worry,happy
go follow me d,happy
would save for the christmas table with this lot,happy
my daughters middle name is rose too,happy
looking for gift ideas for dog lovers and avid gardeners check out the fun designs on these mugs,happy
you should give compliments even wo the bag of candy but i love what youre doing,happy
my very favorite very pretty adventure chick in action,happy
a mean the state eh it now is probably superior than most houses never mind the most deprived onesbut god save the queen n,happy
sweet,happy
hi if you drop a line to social we can forward your email to the right people in the team,happy
here it ismy first ever ep,happy
im going to share some quotes here check this out,happy
your dad sounds like a good guy,happy
karambit marblefade ice and fire by far d,happy
busy day off to  to hand in paperwork then  then  for,happy
we love it doc d,happy
woo hoo thanks,happy
giveaway timeand follow for a chance to win a derp rank on  will be giving two away good luck d,happy
this video took forever to edit i think ill post it later today actually,happy
funfact i never name the pokemon trainer after me i always name it after my fave character at the time or an oc d,happy
memory foam is worth checking out before committing to something else  rs,happy
its just because youre cute and for raising up your mood did you enjoy it,happy
i work about 30 hours a week on top of school,happy
follow  for more quotes go,happy
thank you lovely,happy
if i had know you were travelling i would sent you something to read,happy
my coffee cup at the wellington diner this morning,happy
waiting for you by the window can be stressful heres some herbal help,happy
another gorgeous shot from trevor moore photographymiss us yet,happy
age 1425 tell us what  to you  you could win a 50 gift voucher  please,happy
waking up at 730 only to find out the only class you have today is at 120  fun,happy
nice work guys congratulations,happy
you are so not dumb its so early and its meant to be tricky5000 is on the line  and were happy to hear peo,happy
here it ismy first ever ep,happy
im not giving up its a maroon 5 kind of night man,happy
28731 people voted for this poll in the last 24hrs here is  it is a huge gap 86  14,happy
ah so going rawr im a dragon is a regular occurrence p,happy
hello november27th carlettam,happy
what an amazing team of tt and ss  sciefus misses all of you already,happy
basahin mo lang yong screencaptures then state your opinionreaction regarding the issue,happy
i like that story,happy
rosalina and  a rabbit 3in french we call her harmonie  exemple of shading and pixel effects with flipnote progr,happy
yes legacy live in baden baden,happy
happy friday cape town have a great weekend,happy
i should really invest more than 5 minutes in myself,happy
us directioners so excited for you to see the stickers i drew for the limited edition  deluxe yearbook  x,happy
nickis up nextt,happy
relax and release all your stress in that,happy
thanks mate,happy
type it in english alphabet once p,happy
thanks roby,happy
thank u so much xx 3,happy
tune in to watch me on  now,happy
hello myreesha myreeshasavage,happy
its a good day for some  with,happy
everything i learned about  i learned from my cat,happy
had it two months after i turned  havent done the other one yet bad genetics i blame my mom,happy
uumm da now i m free of tension,happy
time is the only variable  not this year,happy
we have a fantastic selection of signed memorabilia   us,happy
goodnight to our lads whos going to sleep at this moment,happy
these are amazing jihi,happy
good morning twitter,happy
us directioners so excited for you to see the stickers i drew for the limited edition  deluxe yearbook  x,happy
need a babes too stop me from making bad life choices,happy
hey  hits lets go for more its a new day,happy
thanks ashley,happy
retweet if you fuking love gaga and want her to win thisbtw if you wonder who drew this well i did retweet,happy
your memory is spot on,happy
more hours till my  week thanksgiving break,happy
it happens stock market is not the only unpredictable thing out there great job on the charts and ideas,happy
some how i think you will tolerate it given the end result,happy
aw bless you thanks,happy
love cost nothing but it is worth more than anything else you can think of in this world,happy
for the recent follow much appreciated  want this,happy
week  of program complete,happy
